answer,value,Country Code
Peru,0.6833396493,PER
Sao Tome and Principe,0.6785903657,STP
Central African Republic,0.6727677865,CAF
Indonesia,0.6637789415,IDN
Colombia,0.6612697866,COL
Bolivia,0.6607743361,BOL
India,0.6605570671,IND
Guinea-Bissau,0.6605112745,GNB
Nauru,0.6602804813,NRU
Turkey,0.6544900919,TUR
Nepal,0.652793344,NPL
Brazil,0.6522679617,BRA
Morocco,0.6505199765,MAR
Haiti,0.6435844052,HTI
Kyrgyz Republic,0.6428724086,KGZ
Kiribati,0.6395559246,KIR
Cambodia,0.6369600511,KHM
Tunisia,0.633765222,TUN
Vietnam,0.6252148033,VNM
Cabo Verde,0.625046334,CPV
Lesotho,0.6135843156,LSO
Timor-Leste,0.6059262015,TLS
Myanmar,0.6031760517,MMR
Thailand,0.6021525274,THA
Azerbaijan,0.600974527,AZE
Guam,0.5902784599,GUM
Federated States of Micronesia,0.5755834453,FSM
Australia,0.5740701589,AUS
Chile,0.5691384147,CHL
El Salvador,0.5645358457,SLV
Fiji,0.562301393,FJI
Liechtenstein,0.5620718951,LIE
Seychelles,0.559555119,SYC
Palau,0.5515974515,PLW
North Korea,0.5496729424,PRK
San Marino,0.5362768425,SMR
Sri Lanka,0.5332735934,LKA
Argentina,0.5297540814,ARG
China,0.5161478677,CHN
South Korea,0.511912793,KOR
Cyprus,0.5103685504,CYP
Canada,0.5064543007,CAN
St. Lucia,0.4950032301,LCA
New Zealand,0.4945766829,NZL
Aruba,0.4828280323,ABW
Suriname,0.4806901542,SUR
Kosovo,0.478581654,XKX
Mauritius,0.478143973,MUS
Iceland,0.4747256561,ISL
Luxembourg,0.4614321099,LUX
Kazakhstan,0.4541640426,KAZ
Tuvalu,0.4499414256,TUV
Samoa,0.44319795,WSM
United States,0.4408677914,USA
Albania,0.4406316051,ALB
Jamaica,0.4349005936,JAM
Tonga,0.4249453894,TON
Greenland,0.4215640907,GRL
Monaco,0.4168160212,MCO
Ireland,0.4073866118,IRL
Trinidad and Tobago,0.378386358,TTO
Cuba,0.3777321191,CUB
Switzerland,0.3636210422,CHE
Armenia,0.3592349057,ARM
Spain,0.3442634811,ESP
Netherlands,0.3250466789,NLD
Bermuda,0.3203838913,BMU
Gibraltar,0.3200999767,GIB
Norway,0.3156339404,NOR
Puerto Rico,0.3087693368,PRI
France,0.3001949187,FRA
Faroe Islands,0.2943176497,FRO
Macedonia,0.2847094425,MKD
Moldova,0.2837837838,MDA
Japan,0.2716175583,JPN
Uruguay,0.2628784619,URY
St. Vincent and the Grenadines,0.2617038935,VCT
Guyana,0.260549875,GUY
Malta,0.2526553564,MLT
Slovak Republic,0.2506323793,SVK
Sweden,0.2442124817,SWE
Slovenia,0.2325235066,SVN
Montenegro,0.2283338766,MNE
Greece,0.224720706,GRC
Curacao,0.219832624,CUW
Poland,0.2189986955,POL
United Kingdom,0.2016726968,GBR
Denmark,0.2009232754,DNK
Austria,0.1943237032,AUT
Finland,0.1938932459,FIN
Belgium,0.1933943647,BEL
Barbados,0.1896763463,BRB
Dominica,0.1840011966,DMA
Italy,0.1716301772,ITA
Russia,0.1693570058,RUS
Grenada,0.1625837472,GRD
Portugal,0.1420775078,PRT
Belarus,0.1376989036,BLR
Germany,0.1191854471,DEU
Bulgaria,0.1037556774,BGR
Czech Republic,0.09085971838,CZE
Bosnia and Herzegovina,0.08278738495,BIH
Latvia,0.08189809959,LVA
Estonia,0.0797155447,EST
Serbia,0.07489827716,SRB
St. Kitts and Nevis,0.06614253662,KNA
Romania,0.06589069611,ROU
Ukraine,0.05205009394,UKR
Lithuania,0.03263867468,LTU
Georgia,0.01981555669,GEO
Hungary,0.01690870953,HUN
Croatia,0.007337073802,HRV
total,113.5942874
